Date,Actual Price,Predicted Price
2016-12-29,3.4000015258789085,7.3548903
2016-12-30,3.172500610351563,7.4095197
2017-01-03,3.2550010681152357,7.46004
2017-01-04,3.2224998474121125,7.5045285
2017-01-05,3.3700008392334007,7.5410733
2017-01-06,3.695001602172855,7.5690017
2017-01-09,3.9650001525878937,7.589917
2017-01-10,3.9950008392334015,7.606846
2017-01-11,4.155000686645511,7.6226335
2017-01-12,4.03000068664551,7.6399097
2017-01-13,3.9775009155273446,7.6599183
2017-01-17,4.217500686645511,7.682757
2017-01-18,4.215000152587891,7.7087436
2017-01-19,4.162500381469727,7.7377825
2017-01-20,4.217500686645511,7.7691627
2017-01-23,4.237501144409183,7.802081
2017-01-24,4.210000991821291,7.8357067
2017-01-25,4.687500000000003,7.8690915
2017-01-26,4.702501296997075,7.9030285
2017-01-27,4.704999923706055,7.9383435
2017-01-30,4.625000000000003,7.975429
2017-01-31,4.555000305175781,8.013923
2017-02-01,6.405000686645511,8.05288
2017-02-02,6.350000381469727,8.097154
2017-02-03,6.487501144409184,8.14901
2017-02-06,6.78999900817871,8.20979
2017-02-07,7.100000381469728,8.279187
2017-02-08,7.227499008178714,8.355261
2017-02-09,7.322500228881838,8.438744
2017-02-10,7.247499465942386,8.52713
2017-02-13,7.539999008178712,8.622285
2017-02-14,7.972501754760746,8.723303
2017-02-15,8.094999313354492,8.831942
2017-02-16,8.055002212524414,8.949204
2017-02-17,8.14750099182129,9.075467
2017-02-21,8.392499923706058,9.210574
2017-02-22,8.495000839233397,9.354044
2017-02-23,8.35000038146973,9.5051565
2017-02-24,8.382501602172853,9.6628475
2017-02-27,8.449998855590824,9.825803
2017-02-28,8.465002059936525,9.992545
2017-03-01,9.164999008178713,10.161495
2017-03-02,8.957502365112303,10.331354
2017-03-03,9.162500381469728,10.500874
2017-03-06,9.052499771118168,10.668939
2017-03-07,9.09750175476074,10.834344
2017-03-08,8.96750068664551,10.994308
2017-03-09,8.887498855590822,11.14665
2017-03-10,9.002500534057617,11.289664
2017-03-13,9.017499923706056,11.42171
2017-03-14,8.965002059936525,11.540615
2017-03-15,9.332502365112308,11.645463
2017-03-16,9.390001296997072,11.736937
2017-03-17,9.215002059936529,11.816493
2017-03-20,9.582502365112305,11.885441
2017-03-21,9.177499771118164,11.945763
2017-03-22,9.57250022888184,11.998523
2017-03-23,9.447500228881838,12.045243
2017-03-24,9.377500534057615,12.08704
2017-03-27,9.437501907348636,12.124588
2017-03-28,10.16750144958496,12.158429
2017-03-29,10.247499465942385,12.190465
2017-03-30,10.19999885559082,12.222704
2017-03-31,10.132501602172852,12.256562
2017-04-03,10.142499923706056,12.29264
2017-04-04,10.410001754760744,12.33093
2017-04-05,10.222501754760742,12.3715315
2017-04-06,10.132501602172852,12.413882
2017-04-07,10.052499771118166,12.456931
2017-04-10,10.010000228881838,12.499342
2017-04-11,9.625001907348633,12.539755
2017-04-12,9.667501449584964,12.576244
2017-04-13,9.48000144958496,12.607198
2017-04-17,9.675001144409183,12.6312
2017-04-18,9.517499923706058,12.647854
2017-04-19,9.387498855590822,12.657115
2017-04-20,9.827501296997072,12.659125
2017-04-21,9.785001754760742,12.655284
2017-04-24,10.127500534057615,12.647277
2017-04-25,10.350000381469728,12.637486
2017-04-26,10.137498855590824,12.628574
2017-04-27,10.164999008178713,12.622262
2017-04-28,10.129999160766603,12.619567
2017-05-01,10.862501144409178,12.620799
2017-05-02,11.094999313354494,12.627408
2017-05-03,10.982500076293944,12.641084
2017-05-04,10.850000381469728,12.662675
2017-05-05,11.457502365112306,12.69189
2017-05-08,12.469999313354492,12.729119
2017-05-09,12.715002059936523,12.776771
2017-05-10,12.532499313354492,12.837381
2017-05-11,12.704999923706058,12.91189
2017-05-12,13.242502212524416,13.0001955
2017-05-15,13.142499923706056,13.102197
2017-05-16,13.085000991821293,13.216199
2017-05-17,11.780000686645511,13.340101
2017-05-18,12.352499008178713,13.468617
2017-05-19,12.482500076293949,13.596045
2017-05-22,12.715002059936523,13.718038
2017-05-23,12.667501449584964,13.832017
2017-05-24,12.552499771118164,13.936167
2017-05-25,12.684999465942386,14.029068
2017-05-26,12.6200008392334,14.111053
2017-05-30,12.635000228881836,14.182645
2017-05-31,12.40749931335449,14.24459
2017-06-01,12.51249885559082,14.29721
2017-06-02,13.079999923706056,14.341089
2017-06-05,12.699998855590822,14.378332
2017-06-06,12.829999923706056,14.410337
2017-06-07,13.059999465942385,14.438449
2017-06-08,12.965002059936529,14.464329
2017-06-09,11.462499618530275,14.489151
2017-06-12,10.572500228881838,14.510098
2017-06-13,10.864999771118164,14.521793
2017-06-14,10.507501602172852,14.519921
2017-06-15,10.289999008178713,14.501143
2017-06-16,9.785001754760742,14.463457
2017-06-19,10.802499771118162,14.405482
2017-06-20,10.469999313354494,14.32956
2017-06-21,10.684999465942385,14.238999
2017-06-22,10.625001907348633,14.1382265
2017-06-23,10.787500381469728,14.0317135
2017-06-26,10.672502517700195,13.923965
2017-06-27,10.149999618530275,13.818672
2017-06-28,10.67500114440918,13.717538
2017-06-29,10.137498855590824,13.622605
2017-06-30,10.222501754760742,13.534317
2017-07-03,10.09250068664551,13.452738
2017-07-05,10.239999771118162,13.377451
2017-07-06,9.899999618530272,13.308301
2017-07-07,10.26249885559082,13.244428
2017-07-10,10.482500076293944,13.185778
2017-07-11,10.60000038146973,13.133051
2017-07-12,10.652502059936523,13.08727
2017-07-13,11.160001754760746,13.0493355
2017-07-14,11.477499008178713,13.020966
2017-07-17,11.607500076293944,13.004028
